Fecha,Producto,Division,Precio,Variacion,Porcentaje
2025-05-25 21:12,Galletita de Agua Cracker Dia 101 Gr,Panificados,2350.0,,
2025-05-25 21:12,Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,3120.0,,
2025-05-25 21:12,Papa Negra x 1 Kg,Frescos,4550.0,,
2025-05-25 21:12,Batata x 1 Kg,Frescos,1290.0,,
2025-05-25 21:12,Azúcar Plus DIA Común tipo A 1 Kg,Almacén,1980.0,,
2025-05-25 21:12,Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,3055.0,,
2025-05-25 21:12,Acelga x 1 Kg,Frescos,3090.0,,
2025-05-25 21:12,Cebolla Morada x 1 Kg,Frescos,3380.0,,
2025-05-25 21:12,Lechuga Mantecosa x 1 Kg,Frescos,4790.0,,
2025-05-25 21:12,Tomate Perita x 1 Kg,Frescos,6580.0,,
2025-05-25 21:12,Zanahoria x 1 Kg,Frescos,2580.0,,
2025-05-25 21:12,Zapallo x 1 Kg,Frescos,890.0,,
2025-05-25 21:12,Manzana Roja x 1 Kg,Frescos,5380.0,,
2025-05-25 21:12,Mandarina x 1 Kg,Frescos,1380.0,,
2025-05-25 21:12,Naranja Jugo x 1 Kg,Frescos,2580.0,,
2025-05-25 21:12,Banana x 1 Kg,Frescos,3980.0,,
2025-05-25 21:12,Pera x 1 Kg,Frescos,1690.0,,
2025-05-25 21:12,Asado x Kg,Frescos,13600.0,,
2025-05-25 21:12,Carnaza Comun x Kg,Frescos,10500.0,,
2025-05-25 21:12,Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,14100.0,,
2025-05-25 21:12,Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,14000.0,,
2025-05-25 21:12,Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,8450.0,,
2025-05-25 21:12,Pollo Entero x 1 Kg (precio por kg),Frescos,2990.0,,
2025-05-25 21:12,Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,9990.0,,
2025-05-25 21:12,Leche Entera DIA Sachet 1 Lt.,Frescos,13900.0,,
2025-05-25 21:12,Queso Crema DIA Normandia 290 Gr.,Frescos,2490.0,,
2025-05-25 21:12,Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,12890.0,,
