Producto,Division,Mes_Actual,Año_Actual,Precio_Primer_Dia,Precio_Ultimo_Dia,Variacion,Porcentaje
Galletita de Agua Cracker Dia 101 Gr,Panificados,6,2025,1575.0,2350.0,775.0,49.2063492063492
Arroz Largo Fino Molinos Ala 500 Gr.,Almacén,6,2025,3120.0,3120.0,0.0,0.0
Papa Negra x 1 Kg,Frescos,6,2025,4550.0,6650.0,2100.0,46.15384615384615
Batata x 1 Kg,Frescos,6,2025,1290.0,1290.0,0.0,0.0
Azúcar Plus DIA Común tipo A 1 Kg,Almacén,6,2025,1980.0,1980.0,0.0,0.0
Dulce de Leche Clásico La Serenísima con calcio 400 Gr,Almacén,6,2025,3135.0,3135.0,0.0,0.0
Acelga x 1 Kg,Frescos,6,2025,3090.0,3090.0,0.0,0.0
Cebolla Morada x 1 Kg,Frescos,6,2025,3380.0,3380.0,0.0,0.0
Lechuga Mantecosa x 1 Kg,Frescos,6,2025,4790.0,4790.0,0.0,0.0
Tomate Perita x 1 Kg,Frescos,6,2025,5780.0,5780.0,0.0,0.0
Zanahoria x 1 Kg,Frescos,6,2025,2580.0,2580.0,0.0,0.0
Zapallo x 1 Kg,Frescos,6,2025,890.0,890.0,0.0,0.0
Manzana Roja x 1 Kg,Frescos,6,2025,5380.0,5380.0,0.0,0.0
Mandarina x 1 Kg,Frescos,6,2025,2580.0,2580.0,0.0,0.0
Naranja Jugo x 1 Kg,Frescos,6,2025,2580.0,2580.0,0.0,0.0
Banana x 1 Kg,Frescos,6,2025,3980.0,3980.0,0.0,0.0
Pera x 1 Kg,Frescos,6,2025,1690.0,1690.0,0.0,0.0
Asado x Kg,Frescos,6,2025,13600.0,13600.0,0.0,0.0
Carnaza Comun x Kg,Frescos,6,2025,10500.0,10500.0,0.0,0.0
Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,6,2025,14100.0,14100.0,0.0,0.0
Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,6,2025,14000.0,14000.0,0.0,0.0
Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,6,2025,8450.0,8450.0,0.0,0.0
Pollo Entero x 1 Kg (precio por kg),Frescos,6,2025,2990.0,2990.0,0.0,0.0
Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,6,2025,9990.0,9990.0,0.0,0.0
Leche Entera DIA Sachet 1 Lt.,Frescos,6,2025,13900.0,13900.0,0.0,0.0
Queso Crema DIA Normandia 290 Gr.,Frescos,6,2025,2990.0,2990.0,0.0,0.0
Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,6,2025,12890.0,12890.0,0.0,0.0
Queso Rallado DIA 150 Gr,Frescos,6,2025,4190.0,4700.0,510.0,12.17183770883055
"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,6,2025,7380.0,7380.0,0.0,0.0
"Aceite de Girasol Natura 1,5 Lt.",Almacén,6,2025,4470.0,4470.0,0.0,0.0
Sal Fina en Paquete Celusal 500 Gr.,Almacén,6,2025,1325.0,1325.0,0.0,0.0
Vinagre de Alcohol Dia 1 Lt.,Almacén,6,2025,1050.0,1050.0,0.0,0.0
Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,6,2025,7190.0,7190.0,0.0,0.0
Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,6,2025,4500.0,4500.0,0.0,0.0
Pan Mignon 250 Gr,Panificados,6,2025,918.0,918.0,0.0,0.0
Vainillas DIA 148 Gr.,Panificados,6,2025,2500.0,2500.0,0.0,0.0
Harina de Trigo 000 DIA 1 Kg,Almacén,6,2025,1580.0,1580.0,0.0,0.0
Polenta Prestopronta 500 Gr.,Almacén,6,2025,1325.0,1325.0,0.0,0.0
Fideos Tirabuzón Favorita 500 Gr,Almacén,6,2025,3000.0,3580.0,580.0,19.333333333333332
Dulce de Batata Emeth 500 Gr,Almacén,6,2025,2500.0,2500.0,0.0,0.0
Mermelada BC Durazno 390 Gr,Almacén,6,2025,3175.0,3175.0,0.0,0.0
Lentejas Dia 400 Gr,Almacén,6,2025,2100.0,2100.0,0.0,0.0
Puré de Tomate Dia 520 Gr.,Almacén,6,2025,790.0,790.0,0.0,0.0
Jamón Cocido Fetas Finas Dia 200 Gr (Ejemplo para Paleta Cocida),Frescos,6,2025,3355.0,4290.0,935.0,27.86885245901639
Salamín Cagnoli Picado Grueso 145 Gr (Ejemplo para Salame),Frescos,6,2025,5290.0,5290.0,0.0,0.0
Huevo Blanco Grande x 12 unidades,Frescos,6,2025,7980.0,7980.0,0.0,0.0
Manteca DIA Calidad Extra 200 Gr,Frescos,6,2025,3000.0,3070.0,70.0,2.3333333333333335
Mayonesa DIA 220 Ml.,Almacén,6,2025,725.0,725.0,0.0,0.0
Caldo De Verdura Maggi x 12 Ud.,Almacén,6,2025,1480.0,1480.0,0.0,0.0
Arveja Congelada DIA 350 Gr,Almacén,6,2025,1990.0,2590.0,600.0,30.15075376884422
