Producto,Semana_Actual,Año_Actual,Precio_Promedio_Actual,Precio_Promedio_Anterior,Variacion,Porcentaje
"Aceite de Girasol Natura 1,5 Lt.",23,2025,4470.0,4470.0,0.0,0.0
"Aceite de Girasol Natura 1,5 Lt.",24,2025,4470.0,4470.0,0.0,0.0
"Aceite de Girasol Natura 1,5 Lt.",25,2025,4541.428571428572,4470.0,71.42857142857156,1.5979546180888493
Acelga x 1 Kg,23,2025,3090.0,3090.0,0.0,0.0
Acelga x 1 Kg,24,2025,3090.0,3090.0,0.0,0.0
Acelga x 1 Kg,25,2025,3090.0,3090.0,0.0,0.0
Arroz Largo Fino Molinos Ala 500 Gr.,23,2025,3120.0,3120.0,0.0,0.0
Arroz Largo Fino Molinos Ala 500 Gr.,24,2025,3120.0,3120.0,0.0,0.0
Arroz Largo Fino Molinos Ala 500 Gr.,25,2025,3120.0,3120.0,0.0,0.0
Arveja Congelada DIA 350 Gr,23,2025,2440.0,1990.0,450.0,22.613065326633166
Arveja Congelada DIA 350 Gr,24,2025,2590.0,2440.0,150.0,6.147540983606557
Arveja Congelada DIA 350 Gr,25,2025,2590.0,2590.0,0.0,0.0
Asado x Kg,23,2025,13600.0,13600.0,0.0,0.0
Asado x Kg,24,2025,13600.0,13600.0,0.0,0.0
Asado x Kg,25,2025,13600.0,13600.0,0.0,0.0
Azúcar Plus DIA Común tipo A 1 Kg,23,2025,1680.0,1980.0,-300.0,-15.151515151515152
Azúcar Plus DIA Común tipo A 1 Kg,24,2025,1900.0,1680.0,220.0,13.095238095238097
Azúcar Plus DIA Común tipo A 1 Kg,25,2025,1980.0,1900.0,80.0,4.2105263157894735
Banana x 1 Kg,23,2025,3930.0,3980.0,-50.0,-1.256281407035176
Banana x 1 Kg,24,2025,3713.3333333333335,3930.0,-216.66666666666652,-5.5131467345207765
Banana x 1 Kg,25,2025,3980.0,3713.3333333333335,266.6666666666665,7.181328545780966
Batata x 1 Kg,23,2025,1215.0,1290.0,-75.0,-5.813953488372093
Batata x 1 Kg,24,2025,1056.6666666666667,1215.0,-158.33333333333326,-13.0315500685871
Batata x 1 Kg,25,2025,1190.0,1056.6666666666667,133.33333333333326,12.618296529968445
Caldo De Verdura Maggi x 12 Ud.,23,2025,1480.0,1480.0,0.0,0.0
Caldo De Verdura Maggi x 12 Ud.,24,2025,1480.0,1480.0,0.0,0.0
Caldo De Verdura Maggi x 12 Ud.,25,2025,1480.0,1480.0,0.0,0.0
Carnaza Comun x Kg,23,2025,10500.0,10500.0,0.0,0.0
Carnaza Comun x Kg,24,2025,10500.0,10500.0,0.0,0.0
Carnaza Comun x Kg,25,2025,10500.0,10500.0,0.0,0.0
Carne picada Especial Atmósfera Modificada 500 Gr,23,2025,14000.0,14000.0,0.0,0.0
Carne picada Especial Atmósfera Modificada 500 Gr,24,2025,14000.0,14000.0,0.0,0.0
Carne picada Especial Atmósfera Modificada 500 Gr,25,2025,14000.0,14000.0,0.0,0.0
Cebolla Morada x 1 Kg,23,2025,3380.0,3380.0,0.0,0.0
Cebolla Morada x 1 Kg,24,2025,3113.3333333333335,3380.0,-266.6666666666665,-7.8895463510848085
Cebolla Morada x 1 Kg,25,2025,2580.0,3113.3333333333335,-533.3333333333335,-17.13062098501071
Cerveza Lager Oslava 1 Lt.,23,2025,3180.0,2580.0,600.0,23.25581395348837
